Country,Capital,Currency,Language
Afghanistan,Kabul,Afġānistānافغانستان,Kabulكابل
Albania,Tirana,Shqipëria,Tirana
Algeria,Algiers,DzayerⴷⵣⴰⵢⴻⵔAl-Jazā'irالجزائر,DzayerⴷⵣⴰⵢⴻⵔAl-Jazā'irالجزائر
American Samoa[1],Pago Pago,Amerika SāmoaAmerican Samoa,Pago PagoPago Pago
Andorra,Andorra la Vella,Andorra,Andorra la Vella
Angola,Luanda,AngolaNgola,LuandaLwanda
Anguilla[2],The Valley,Anguilla,The Valley
Antigua and Barbuda,Saint John's,Antigua and Barbuda,St. John's
Argentina,Buenos Aires,Argentina,Buenos Aires
Armenia,Yerevan,HayastánՀայաստան,YerevanԵրևան
Aruba[3],Oranjestad,Aruba,Oranjestad
Australia,Canberra,Australia,Canberra
Austria,Vienna,Österreich,Wien
Åland[4],Mariehamn,ÅlandAhvenanmaa,MariehamnMaarianhamina
Azerbaijan,Baku,Azərbaycan,Bakı
